ngram,COMP,NEG,NEUT,POS
가/JKS 뛰쳐나오/VV,0,0,0,1
가/JKS 막/NNG,0,0,0,1
가/JKS 막/NNG 을/JKO,0,0,0,1
가/JKS 막대/XR,0,0,0,1
가/JKS 막대/XR 하/XSA,0,0,0,1
가/JKS 많/VA,0,4,0,3
가/JKS 많/VA 고/EC,0,0,0,1
가/JKS 많/VA 은/ETM,0,1,0,0
가/JKS 많이/MAG,0,0,0,1
가/JKS 많이/MAG 나오/VV,0,0,0,1
가/JKS 맞/VV,0,1,0,0
가/JKS 맞/VV 지/EC,0,1,0,0
가/JKS 무대/NNG,0,0,0,1
가/JKS 무대/NNG 를/JKO,0,0,0,1
가/JKS 바늘/NNG,0,1,0,0
가/JKS 바늘/NNG 에/JKB,0,1,0,0
가/JKS 보/VV,0,0,0,1
가/JKS 보/VV 기/ETN,0,0,0,1
가/JKS 살아나/VV,0,0,0,1
가/JKS 삼위일체/NNG,0,0,0,1
가/JKS 새/VV,0,1,0,0
가/JKS 새/VV 어/EC,0,1,0,0
가/JKS 생기/VV,0,0,0,2
가/JKS 생기/VV ㄴ다/EF,0,0,0,1
가/JKS 생기/VV 었/EP,0,0,0,1
가/JKS 성행/NNG,0,1,0,0
가/JKS 성행/NNG 하/XSV,0,1,0,0
가/JKS 속하/VV,0,0,0,1
가/JKS 속하/VV 아/EC,0,0,0,1
가/JKS 쉽/VA,0,1,0,1
가/JKS 쉽/VA 게/EC,0,1,0,0
가/JKS 쉽/VA 지/EC,0,0,0,1
가/JKS 시급/XR,0,0,0,1
가/JKS 시급/XR 하/XSA,0,0,0,1
가/JKS 쏠쏠/XR,0,0,0,1
가/JKS 쏠쏠/XR 하/XSA,0,0,0,1
가/JKS 아프/VA,0,0,0,1
가/JKS 아프/VA 고/EC,0,0,0,1
가/JKS 어우러지/VV,0,0,0,1
가/JKS 얼마나/MAG,0,0,0,3
가/JKS 얼마나/MAG 오랜/MM,0,0,0,1
가/JKS 얼마나/MAG 종류/NNG,0,0,0,1
가/JKS 얼마나/MAG 좋/VA,0,0,0,1
가/JKS 없/VA,0,8,1,9
가/JKS 없/VA 다/EF,0,0,1,1
가/JKS 없/VA 잖아/EF,0,1,0,0
가/JKS 열리/VV,0,0,0,1
가/JKS 열리/VV ㄴ다/EF,0,0,0,1
가/JKS 울리/VV,0,0,0,1
가/JKS 울리/VV ㄹ/ETM,0,0,0,1
가/JKS 일어나/VV,0,1,0,0
가/JKS 일정/NNG,0,1,0,0
가/JKS 일정/NNG 하/XSA,0,1,0,0
가/JKS 잇따르/VV,0,1,0,0
가/JKS 있/VV,0,1,0,10
가/JKS 있/VV 나/EC,0,0,0,1
가/JKS 있/VV 다/EF,0,0,0,1
가/JKS 있/VV 어/EC,0,0,0,1
가/JKS 작용/NNG,0,0,0,1
가/JKS 작용/NNG 하/XSV,0,0,0,1
가/JKS 장주/NNG,0,0,1,0
가/JKS 장주/NNG 가/JKC,0,0,1,0
가/JKS 적/VA,0,1,0,0
가/JKS 적/VA 지/EC,0,1,0,0
가/JKS 주장/NNG,0,0,0,1
가/JKS 주장/NNG 하/XSV,0,0,0,1
가/JKS 죽/VV,0,0,0,1
가/JKS 죽/VV 어/EC,0,0,0,1
가/JKS 줄/VV,0,0,0,1
가/JKS 줄/VV 어/EC,0,0,0,1
가/JKS 짧/VA,0,1,0,0
가/JKS 차/VV,0,0,0,1
가/JKS 차/VV 기/ETN,0,0,0,1
가/JKS 차단/NNG,0,1,0,0
가/JKS 차단/NNG 되/XSV,0,1,0,0
가/JKS 크/VA,0,1,0,2
가/JKS 크/VA 게/EC,0,0,0,1
가/JKS 태익/NNP,0,0,0,1
가/JKS 태익/NNP 이/VCP,0,0,0,1
가/JKS 특허/NNG,0,0,0,1
가/JKS 특허/NNG 와/JC,0,0,0,1
가/JKS 평화/NNG,0,0,0,1
가/JKS 평화/NNG 의/JKG,0,0,0,1
가/JKS 풀리/VV,0,1,0,0
가/JKS 하/VV,0,0,0,1
가/JKS 하/VV 라는/ETM,0,0,0,1
가/JKS 횡행/NNG,0,1,0,0
가/JKS 횡행/NNG 하/XSV,0,1,0,0
가/JKS 흐르/VV,0,0,0,1
가/JKS 힘/NNG,0,0,0,1
가/JKS 힘/NNG 이/JKC,0,0,0,1
가/VV,0,2,0,9
가/VV 기/ETN,0,0,0,1
가/VV 기/ETN 시작/NNG,0,0,0,1
가/VV ㄴ/ETM,0,1,0,0
가/VV ㄴ/ETM 데/NNB,0,1,0,0
가/VV 네/EC,0,0,0,1
가/VV 는/ETM,0,0,0,2
가/VV 는/ETM 것/NNB,0,0,0,1
가/VV 는/ETM 경우/NNG,0,0,0,1
가/VV ㄹ/ETM,0,1,0,0
가/VV ㄹ/ETM 수/NNB,0,1,0,0
가/VV ㄹ수록/EC,0,0,0,1
가/VV ㅂ시당/EF,0,0,0,1
가/VV 았/EP,0,0,0,2
가/VV 았/EP 다/EC,0,0,0,1
가/VV 았/EP 다가/EC,0,0,0,1
가/VV 지/EF,0,0,0,1
가/VX,0,2,0,7
가/VX 고/EC,0,0,0,1
가/VX 고/EC 있/VX,0,0,0,1
가/VX ㄹ/ETM,0,0,0,2
가/VX ㄹ/ETM 계획/NNG,0,0,0,1
가/VX ㄹ/ETM 수/NNB,0,0,0,1
가/VX 며/EC,0,0,0,1
가격/NNG,0,0,0,3
가격/NNG 보다/JKB,0,0,0,1
가격/NNG 의/JKG,0,0,0,1
가격/NNG 의/JKG 절반/NNG,0,0,0,1
가까이/MAG,0,1,0,1
가까이/MAG 다가가/VV,0,0,0,1
가까이/MAG 초과/NNG,0,1,0,0
가까이/MAG 초과/NNG 하/XSV,0,1,0,0
가깝/VA,0,1,0,1
가깝/VA 게/EC,0,0,0,1
가깝/VA 게/EC 느끼/VV,0,0,0,1
가꾸/VV,0,0,0,1
가꾸/VV 며/EC,0,0,0,1
가꾸/VV 며/EC 살아오/VV,0,0,0,1
가늠/NNG,0,0,0,1
가늠/NNG 하/XSV,0,0,0,1
가능*/NNG,0,1,0,0
가능*/NNG 성/XSN,0,1,0,0
가능*/NNG 성/XSN 이/JKS,0,1,0,0
가능/NNG,0,2,0,6
가능/NNG 성/XSN,0,2,0,3
가능/NNG 성/XSN 의/JKG,0,1,0,0
가능/NNG 성/XSN 이/JKS,0,0,0,2
가능/NNG 하/XSA,0,0,0,3
가능/NNG 하/XSA 게/EC,0,0,0,1
가능/NNG 하/XSA ㄴ/ETM,0,0,0,1
가능/XR,0,2,0,3
가능/XR 성/XSN,0,2,0,3
가능/XR 성/XSN 은/JX,0,1,0,0
가능/XR 성/XSN 이/JKS,0,1,0,3
가도/NNG,0,0,0,1
가도/NNG 를/JKO,0,0,0,1
가도/NNG 를/JKO 달리/VV,0,0,0,1
가득/MAG,0,1,0,1
가득/MAG 차/VV,0,1,0,1
가로막히/VV,0,1,0,0
가르치/VV,0,1,0,3
가르치/VV 는/ETM,0,1,0,0
가르치/VV 는/ETM 책/NNG,0,1,0,0
가르치/VV ㄹ/ETM,0,0,0,1
가르치/VV ㄹ/ETM 수/NNB,0,0,0,1
가르치/VV 려면/EC,0,0,0,1
가르치/VV 려면/EC 공부/NNG,0,0,0,1
가리/VV,0,0,0,1
가리/VV 지/EC,0,0,0,1
가리/VV 지/EC 않/VX,0,0,0,1
가사/NNG,0,1,0,0
가사/NNG 노동/NNG,0,1,0,0
가사/NNG 노동/NNG 에/JKB,0,1,0,0
가스/NNG,0,1,0,0
가스/NNG 가/JKS,0,1,0,0
가스/NNG 가/JKS 새/VV,0,1,0,0
가슴/NNG,1,0,0,4
가슴/NNG 은/JX,0,0,0,1
가슴/NNG 은/JX 녹아내리/VV,0,0,0,1
가슴/NNG 을/JKO,0,0,0,1
가슴/NNG 을/JKO 치밀/VV,0,0,0,1
가슴/NNG 이/JKS,1,0,0,1
가슴/NNG 이/JKS 떨리/VV,1,0,0,0
가슴/NNG 이/JKS 뛰/VV,0,0,0,1
가슴/NNG 이나/JC,0,0,0,1
가슴/NNG 이나/JC 이빨/NNG,0,0,0,1
가을/NNG,0,0,0,1
가을/NNG 같/VA,0,0,0,1
가장/MAG,0,8,0,23
가장/MAG 고독/NNG,0,1,0,0
가장/MAG 고독/NNG 하/XSA,0,1,0,0
가장/MAG 긍정/NNG,0,0,0,1
가장/MAG 긍정/NNG 적/XSN,0,0,0,1
가장/MAG 길/VA,0,0,0,1
가장/MAG 깜찍/XR,0,0,0,1
가장/MAG 깜찍/XR 하/XSA,0,0,0,1
가장/MAG 내용/NNG,0,0,0,1
가장/MAG 내용/NNG 이/JKS,0,0,0,1
가장/MAG 널리/MAG,0,0,0,1
가장/MAG 널리/MAG 알리/VV,0,0,0,1
가장/MAG 단적/NNG,0,0,0,1
가장/MAG 단적/NNG 으로/JKB,0,0,0,1
가장/MAG 많이/MAG,0,1,0,0
가장/MAG 많이/MAG 발생/NNG,0,1,0,0
가장/MAG 먼저/MAG,0,0,0,1
가장/MAG 먼저/MAG 필요/NNG,0,0,0,1
가장/MAG 상식/NNG,0,0,0,1
가장/MAG 상식/NNG 적/XSN,0,0,0,1
가장/MAG 성공/NNG,0,0,0,1
가장/MAG 성공/NNG 하/XSV,0,0,0,1
가장/MAG 솔직/XR,0,0,0,1
가장/MAG 솔직/XR 하/XSA,0,0,0,1
가장/MAG 아름답/VA,0,0,0,1
가장/MAG 아름답/VA 게/EC,0,0,0,1
가장/MAG 어렵/VA,0,1,0,0
가장/MAG 어렵/VA ㄴ/ETM,0,1,0,0
가장/MAG 위협/NNG,0,1,0,0
가장/MAG 위협/NNG 하/XSV,0,1,0,0
가장/MAG 인기/NNG,0,0,0,2
가장/MAG 인기/NNG 이/VCP,0,0,0,1
가장/MAG 일관/XR,0,0,0,1
가장/MAG 일관/XR 되/XSV,0,0,0,1
가장/MAG 전문가/NNG,0,0,0,1
가장/MAG 전문가/NNG 집단/NNG,0,0,0,1
가장/MAG 좋/VA,0,0,0,2
가장/MAG 좋/VA 아/EC,0,0,0,1
가장/MAG 친근/XR,0,0,0,1
가장/MAG 친근/XR 하/XSA,0,0,0,1
가장/MAG 크/VA,0,3,0,3
가장/MAG 크/VA ㄴ/ETM,0,2,0,3
가장/MAG 하/XSV,0,1,0,0
가장/MAG 하/XSV ㄴ/ETM,0,1,0,0
가장/MAG 흉내/NNG,0,0,0,1
가장/MAG 흉내/NNG 내/VV,0,0,0,1
가족/NNG,0,0,0,5
가족/NNG 들/XSN,0,0,0,1
가족/NNG 들/XSN 이/JKS,0,0,0,1
가족/NNG 은/JX,0,0,0,1
가족/NNG 은/JX 결코/MAG,0,0,0,1
가족/NNG 이/JKS,0,0,0,2
가족/NNG 이/JKS 있/VV,0,0,0,1
가족/NNG 이/JKS 함께/MAG,0,0,0,1
가족/NNG 하고*/JKB,0,0,0,1
가족/NNG 하고*/JKB 함께/MAG,0,0,0,1
가증/XR,0,1,0,0
가증/XR 스럽/XSA,0,1,0,0
가지/NNB,0,2,0,1
가지/NNB 가/JKS,0,0,0,1
가지/NNB 가/JKS 넘/VV,0,0,0,1
가지/NNB 단점/NNG,0,1,0,0
가지/NNB 단점/NNG 이/JKS,0,1,0,0
가지/NNB 문제/NNG,0,1,0,0
가지/VV,0,1,0,8
가지/VV 고/EC,0,0,0,2
가지/VV 고/EC 오/VX,0,0,0,1
가지/VV ㄴ/ETM,0,1,0,2
가지/VV ㄴ/ETM 사람/NNG,0,0,0,1
가지/VV ㄴ/ETM 재주/NNG,0,1,0,0
가지/VV ㄴ/ETM 제품/NNG,0,0,0,1
가지/VV 어다/EC,0,0,0,1
가지/VV 어다/EC 놓/VX,0,0,0,1
가책/NNG,0,0,0,1
가책/NNG 이/JKS,0,0,0,1
가책/NNG 이/JKS 나/NP,0,0,0,1
가출/NNG,0,2,0,0
가출/NNG 하/XSV,0,1,0,0
가치/NNG,0,0,0,5
가치/NNG 가/JKS,0,0,0,2
가치/NNG 가/JKS 있/VV,0,0,0,2
가치/NNG 는/JX,0,0,0,1
가치/NNG 는/JX 신/XPN,0,0,0,1
가치/NNG 를/JKO,0,0,0,1
가치/NNG 를/JKO 높이/VV,0,0,0,1
가치/NNG 체계/NNG,0,0,0,1
가치/NNG 체계/NNG 나/JC,0,0,0,1
가타부타/NNG,0,0,1,0
가타부타/NNG 아무런/MM,0,0,1,0
가타부타/NNG 아무런/MM 응답/NNG,0,0,1,0
가파르/VA,0,0,0,1
가파르/VA 고/EC,0,0,0,1
가하/VV,0,0,0,1
각광/NNG,0,0,0,1
각국/NNG,0,0,0,1
각국/NNG 의/JKG,0,0,0,1
각국/NNG 의/JKG 보건/NNG,0,0,0,1
각별/XR,0,0,0,2
각별/XR 하/XSA,0,0,0,2
각별/XR 하/XSA ㅁ/ETN,0,0,0,1
각별히/MAG,0,0,0,1
각성/NNG,0,0,0,1
각성/NNG 하/XSV,0,0,0,1
각양각색/NNG,0,0,0,2
각양각색/NNG 이/VCP,0,0,0,1
각종/NNG,0,1,0,0
각종/NNG 범죄/NNG,0,1,0,0
각종/NNG 범죄/NNG 를/JKO,0,1,0,0
간/NNB,0,0,0,1
간/NNB 상속/NNG,0,0,0,1
간곡/XR,0,0,0,1
간곡/XR 하/XSA,0,0,0,1
간단히/MAG,0,0,0,1
간밤/NNG,0,0,0,1
간밤/NNG 의/JKG,0,0,0,1
간밤/NNG 의/JKG 긴박/NNG,0,0,0,1
간신히/MAG,0,0,0,2
간신히/MAG 매달리/VV,0,0,0,1
간신히/MAG 매달리/VV 어/EC,0,0,0,1
간주/NNG,0,1,0,0
간주/NNG 하/XSV,0,1,0,0
간첩/NNG,0,1,0,0
간첩/NNG 등/NNB,0,1,0,0
간첩/NNG 등/NNB 불순/NNG,0,1,0,0
간편/XR,0,0,0,3
간편/XR 하/XSA,0,0,0,2
간호/NNG,0,0,0,1
갇히/VV,0,0,0,2
갇히/VV 어/EC,0,0,0,2
갇히/VV 어/EC 있/VX,0,0,0,2
갈구/NNG,0,0,0,1
갈구/NNG 하/XSV,0,0,0,1
갈등/NNG,0,2,0,0
갈수록/MAG,0,1,0,0
갈수록/MAG 모자라/VV,0,1,0,0
갈피/NNG,0,1,0,1
갈피/NNG 를/JKO,0,1,0,0
갈피/NNG 를/JKO 못/MAG,0,1,0,0
갈피/NNG 마다/JX,0,0,0,1
갈피/NNG 마다/JX 에/JKB,0,0,0,1
감/NNG,0,0,0,2
감/NNG 이/JKS,0,0,0,2
감/NNG 이/JKS 들/VV,0,0,0,1
감/NNG 이/JKS 없/VA,0,0,0,1
감각/NNG,0,1,0,0
감각/NNG 적/XSN,0,1,0,0
감각/NNG 적/XSN 의지/NNG,0,1,0,0
감내/NNG,0,1,0,0
감내/NNG 하/XSV,0,1,0,0
감내/NNG 하/XSV 지/EC,0,1,0,0
감독/NNG,0,0,0,6
감독/NNG 과*/JKB,0,0,0,1
감독/NNG 과*/JKB 영화/NNG,0,0,0,1
감독/NNG 과/JKB,0,0,0,1
감독/NNG 과/JKB 영화/NNG,0,0,0,1
감독/NNG 을/JKO,0,0,0,1
감독/NNG 을/JKO 게을리/MAG,0,0,0,1
감독/NNG 의/JKG,0,0,0,1
감독/NNG 의/JKG 영화/NNG,0,0,0,1
감독/NNG 이/JKS,0,0,0,2
감독/NNG 이/JKS 갑자기/MAG,0,0,0,1
감독/NNG 이/JKS 미국/NNP,0,0,0,1
감동/NNG,0,0,0,2
감동/NNG 깊/VA,0,0,0,1
감동/NNG 으로/JKB,0,0,0,1
감사/NNG,0,0,0,1
감사/NNG 하/XSV,0,0,0,1
감사/NNG 하/XSV ㅂ니다/EF,0,0,0,1
감칠맛/NNG,0,0,0,1
감칠맛/NNG 나/VV,0,0,0,1
감탄사/NNG,0,0,0,1
감탄사/NNG 를/JKO,0,0,0,1
감탄사/NNG 를/JKO 연발/NNG,0,0,0,1
갑자기/MAG,0,1,0,3
갑자기/MAG 돌아오/VV,0,0,0,1
갑자기/MAG 돌아오/VV 았/EP,0,0,0,1
갑자기/MAG 호흡/NNG,0,0,0,1
갑자기/MAG 호흡/NNG 이/JKS,0,0,0,1
갑작스레/MAG,0,0,1,0
갑작스레/MAG 꿈/NNG,0,0,1,0
갑작스레/MAG 꿈/NNG 에서/JKB,0,0,1,0
값/NNG,0,0,0,5
값/NNG 등/NNB,0,0,0,1
값/NNG 등/NNB 을/JKO,0,0,0,1
값/NNG 싸/VA,0,0,0,1
값/NNG 싸/VA 고/EC,0,0,0,1
값/NNG 으로/JKB,0,0,0,1
값/NNG 으로/JKB 팔리/VV,0,0,0,1
값싸/VA,0,0,0,1
강군/NNG,0,0,0,1
강단/NNG,0,0,0,1
강단/NNG 교류/NNG,0,0,0,1
강도/NNG,0,0,0,2
강도/NNG 높/VA,0,0,0,1
강도/NNG 높/VA 게/EC,0,0,0,1
강도/NNG 있/VV,0,0,0,1
강력/XR,0,1,0,1
강력/XR 하/XSA,0,1,0,1
강력/XR 하/XSA ㄴ/ETM,0,1,0,1
강렬/XR,0,0,0,1
강렬/XR 하/XSA,0,0,0,1
강물/NNG,0,0,0,1
강물/NNG 위/NNG,0,0,0,1
강물/NNG 위/NNG 에/JKB,0,0,0,1
강박/NNG,0,1,0,0
강박/NNG 에/JKB,0,1,0,0
강박/NNG 에/JKB 시달리/VV,0,1,0,0
강요/NNG,0,2,0,0
강요/NNG 하/XSV,0,1,0,0
강의/NNG,0,0,0,1
강의/NNG 하/XSV,0,0,0,1
강의/NNG 하/XSV ㄴ다/EF,0,0,0,1
강점/NNG,0,0,0,1
강점/NNG 으로/JKB,0,0,0,1
강점/NNG 으로/JKB 내세우/VV,0,0,0,1
강제/NNG,0,0,0,1
강제/NNG 하/XSV,0,0,0,1
강조/NNG,0,0,1,4
강조/NNG 하/XSV,0,0,1,4
강하/VA,0,0,0,1
강화/NNG,0,1,0,3
강화/NNG 되/XSV,0,0,0,1
강화/NNG 하/XSV,0,1,0,2
강화책/NNG,0,0,0,1
갖/VV,0,1,0,5
갖/VV 게/EC,0,0,0,1
갖/VV 게/EC 되/VV,0,0,0,1
갖/VV 지/EC,0,1,0,1
갖/VV 지/EC 못하/VX,0,1,0,1
갖가지/NNG,0,1,0,0
갖가지/NNG 사회/NNG,0,1,0,0
갖가지/NNG 사회/NNG 적/XSN,0,1,0,0
갖추/VV,0,0,0,1
같/VA,0,2,1,18
같/VA 다/EF,0,0,0,3
같/VA 은/ETM,0,2,1,2
같/VA 은/ETM 모호/XR,0,0,1,0
같/VA 은/ETM 연극/NNG,0,0,0,1
같/VA 은/ETM 영화/NNG,0,0,0,1
같/VA 은/ETM 인상/NNG,0,1,0,0
같/VA 은/ETM 입시/NNG,0,1,0,0
같이/JKB,0,1,0,1
같이/JKB 붓/NNG,0,0,0,1
같이/JKB 붓/NNG 을/JKO,0,0,0,1
같이/JKB 비판/NNG,0,1,0,0
같이/JKB 비판/NNG 하/XSV,0,1,0,0
같이/MAG,0,0,0,2
같이/MAG 하/VV,0,0,0,1
같이/MAG 허둥대/VV,0,0,0,1
같이/MAG 허둥대/VV 며/EC,0,0,0,1
갚/VV,0,0,0,1
갚/VV 는/ETM,0,0,0,1
갚/VV 는/ETM 것/NNB,0,0,0,1
개/NNG,0,0,0,1
개념/NNG,0,0,0,1
개념/NNG 만/JX,0,0,0,1
개념/NNG 만/JX 벗어나/VV,0,0,0,1
개방/NNG,0,0,0,1
개방/NNG 정책/NNG,0,0,0,1
개방/NNG 정책/NNG 이/JKS,0,0,0,1
개선/NNG,0,1,0,2
개선/NNG 하/XSV,0,0,0,1
개선/NNG 하/XSV 아/EC,0,0,0,1
개성/NNG,0,0,0,3
개성/NNG 어리/VV,0,0,0,1
개성/NNG 있/VA,0,0,0,1
개성/NNG 있/VV,0,0,0,1
개인/NNG,1,0,0,1
개인/NNG 적/XSN,1,0,0,1
개인/NNG 적/XSN 견해/NNG,1,0,0,0
개인/NNG 적/XSN 자유/NNG,0,0,0,1
개입/NNG,0,1,0,0
개조/NNG,0,1,0,0
개조/NNG 과제/NNG,0,1,0,0
개척/NNG,0,0,0,1
개척/NNG 에/JKB,0,0,0,1
개척/NNG 에/JKB 본격/NNG,0,0,0,1
개혁/NNG,0,1,0,3
개혁/NNG 등/NNB,0,0,0,1
개혁/NNG 등/NNB 을/JKO,0,0,0,1
개혁/NNG 을/JKO,0,1,0,0
개혁/NNG 을/JKO 하/VV,0,1,0,0
객관/NNG,0,1,0,1
객관/NNG 적/XSN,0,1,0,0
객관/NNG 적/XSN 실상/NNG,0,1,0,0
객관/NNG 화/XSN,0,0,0,1
객관/NNG 화/XSN 시키/XSV,0,0,0,1
거/NNB,0,1,0,1
거/NNB 같/VA,0,0,0,1
거/NNB 이/VCP,0,1,0,0
거/NNB 이/VCP 다/EC,0,1,0,0
거/NP,0,0,0,1
거꾸로/MAG,0,0,0,1
거나/EC,0,2,0,6
거나/EC 가족/NNG,0,0,0,1
거나/EC 가족/NNG 이/JKS,0,0,0,1
거나/EC 목소리/NNG,0,0,0,1
거나/EC 목소리/NNG 높이/VV,0,0,0,1
거나/EC 의식/NNG,0,0,0,1
거나/EC 의식/NNG 장애/NNG,0,0,0,1
거나/EC 인터뷰/NNG,0,1,0,0
거나/EC 인터뷰/NNG 를/JKO,0,1,0,0
거나/EC 자/VV,0,0,0,1
거나/EC 자/VV 다/EC,0,0,0,1
거나/EC 포기/NNG,0,1,0,0
거나/EC 포기/NNG 하/XSV,0,1,0,0
거느리/VV,0,1,0,0
거느리/VV ㄴ/ETM,0,1,0,0
거느리/VV ㄴ/ETM 일직선/NNG,0,1,0,0
거대/XR,0,0,0,1
거대/XR 하/XSA,0,0,0,1
거대/XR 하/XSA ㄴ/ETM,0,0,0,1
거두/VV,0,0,0,1
거듭/MAG,0,0,0,1
거듭/MAG 말/NNG,0,0,0,1
거듭/MAG 말/NNG 하/XSV,0,0,0,1
거듭나/VV,0,0,0,1
거룩/XR,0,1,0,0
거룩/XR 하/XSA,0,1,0,0
거룩/XR 하/XSA ㄴ/ETM,0,1,0,0
거리/NNG,0,0,0,1
거리/NNG 를/JKO,0,0,0,1
거리/NNG 를/JKO 유지/NNG,0,0,0,1
거리낌/NNG,0,0,0,1
거리낌/NNG 없이/MAG,0,0,0,1
거봉/NNG,0,0,0,1
거부/NNG,0,2,0,1
거부/NNG 하/XSV,0,2,0,1
거부/NNG 하/XSV ㄹ/ETM,0,0,0,1
거세/NNG,0,0,0,1
거세/NNG 공포/NNG,0,0,0,1
거세/NNG 공포/NNG 로부터/JKB,0,0,0,1
거세/VA,0,0,0,1
거울/NNG,0,0,0,1
거울/NNG 이/VCP,0,0,0,1
거울/NNG 이/VCP 며/EC,0,0,0,1
거의/MAG,0,3,0,3
거의/MAG 거치/VV,0,1,0,0
거의/MAG 거치/VV 지/EC,0,1,0,0
거의/MAG 반영/NNG,0,1,0,0
거의/MAG 반영/NNG 하/XSV,0,1,0,0
거의/MAG 없/VA,0,0,0,1
거의/MAG 이루/VV,0,1,0,0
거의/MAG 이루/VV 어/EC,0,1,0,0
거짓/NNG,0,2,0,1
거짓/NNG 없이/MAG,0,0,0,1
거짓말/NNG,0,3,0,0
거치/VV,0,1,0,1
거치/VV 어/EC,0,0,0,1
거치/VV 어/EC 오/VX,0,0,0,1
거치/VV 지/EC,0,1,0,0
거치/VV 지/EC 않/VX,0,1,0,0
거칠/VA,0,1,0,0
거칠/VA ㄴ/ETM,0,1,0,0
거칠/VA ㄴ/ETM 숨소리/NNG,0,1,0,0
거푸집/NNG,0,0,0,1
거푸집/NNG 속/NNG,0,0,0,1
거푸집/NNG 속/NNG 에서/JKB,0,0,0,1
거품/NNG,0,0,0,1
거품/NNG 도/JX,0,0,0,1
거품/NNG 도/JX 만들/VV,0,0,0,1
걱정/NNG,0,2,0,0
걱정/NNG 되/XSV,0,1,0,0
건/NNB,0,1,0,0
건/NNB 이상/NNG,0,1,0,0
건/NNB 이상/NNG 교통/NNG,0,1,0,0
건강/NNG,0,0,0,3
건강/NNG 을/JKO,0,0,0,1
건강/NNG 을/JKO 지키/VV,0,0,0,1
건강/NNG 이/JKS,0,0,0,1
건강/NNG 이/JKS 좋/VA,0,0,0,1
건강/NNG 하/XSV,0,0,0,1
건대/EC,0,0,0,1
건드리/VV,0,0,0,1
건드리/VV 지/EC,0,0,0,1
건드리/VV 지/EC 도/JX,0,0,0,1
건물/NNG,0,0,0,1
건물/NNG 형식/NNG,0,0,0,1
건물/NNG 형식/NNG 을/JKO,0,0,0,1
건배/NNG,0,0,0,1
건수/NNG,0,0,0,1
건수/NNG 가/JKS,0,0,0,1
건수/NNG 가/JKS 많/VA,0,0,0,1
건실/XR,0,0,0,1
건실/XR 하/XSA,0,0,0,1
건의/NNG,0,0,0,2
건의/NNG 하/XSV,0,0,0,2
건전/NNG,0,0,0,1
건전/NNG 레포츠/NNG,0,0,0,1
건전/NNG 레포츠/NNG 로/JKB,0,0,0,1
건축/NNG,0,0,0,3
건축/NNG 도/JX,0,0,0,1
건축/NNG 도/JX 하나/NR,0,0,0,1
건축/NNG 양식/NNG,0,0,0,1
건축/NNG 창작/NNG,0,0,0,1
건축/NNG 창작/NNG 도/JX,0,0,0,1
건축물/NNG,0,0,0,1
건축물/NNG 을/JKO,0,0,0,1
건축물/NNG 을/JKO 설계/NNG,0,0,0,1
